iter	Passed	Remaining
0	19	19262
1	30	15461
2	39	13066
3	47	11802
4	55	10953
5	62	10433
6	70	9964
7	79	9852
8	87	9604
9	95	9442
10	102	9237
11	110	9128
12	118	8974
13	126	8911
14	134	8808
15	142	8768
16	149	8668
17	157	8588
18	164	8468
19	171	8385
20	178	8312
21	185	8229
22	192	8176
23	199	8105
24	206	8065
25	213	7993
26	220	7947
27	227	7896
28	234	7853
29	241	7819
30	248	7776
31	256	7744
32	263	7723
33	271	7707
34	278	7672
35	286	7660
36	293	7641
37	300	7614
38	308	7590
39	314	7554
40	324	7583
41	331	7550
42	338	7528
43	344	7490
44	352	7479
45	359	7450
46	366	7433
47	373	7404
48	381	7397
49	388	7388
50	396	7378
51	404	7383
52	411	7357
53	419	7346
54	426	7324
55	433	7313
56	440	7286
57	447	7267
58	457	7290
59	465	7293
60	473	7293
61	483	7308
62	490	7291
63	498	7286
64	504	7259
65	513	7262
66	521	7265
67	531	7283
68	541	7307
69	551	7322
70	560	7340
71	572	7375
72	582	7398
73	592	7408
74	603	7439
75	612	7451
76	621	7451
77	631	7461
78	650	7584
79	657	7564
80	665	7549
81	672	7524
82	680	7516
83	687	7499
84	695	7492
85	703	7472
86	711	7467
87	719	7452
88	728	7452
89	735	7433
90	743	7422
91	749	7401
92	759	7408
93	768	7410
94	776	7401
95	785	7395
96	793	7387
97	801	7379
98	811	7382
99	818	7368
100	826	7353
101	833	7335
102	840	7323
103	848	7306
104	856	7296
105	863	7282
106	871	7274
107	878	7257
108	886	7246
109	893	7231
110	900	7214
111	908	7205
112	930	7305
113	944	7341
114	953	7338
115	960	7321
116	967	7302
117	974	7283
118	981	7262
119	988	7249
120	994	7225
121	1002	7213
122	1008	7192
123	1015	7174
124	1022	7154
125	1028	7136
126	1037	7133
127	1044	7114
128	1051	7101
129	1058	7082
130	1065	7067
131	1072	7054
132	1079	7040
133	1086	7021
134	1093	7007
135	1102	7002
136	1114	7023
137	1123	7019
138	1135	7032
139	1143	7025
140	1154	7030
141	1164	7037
142	1173	7032
143	1184	7040
144	1191	7025
145	1203	7039
146	1212	7035
147	1221	7032
148	1232	7039
149	1239	7024
150	1250	7029
151	1258	7022
152	1268	7023
153	1281	7042
154	1289	7030
155	1300	7036
156	1309	7030
157	1317	7021
158	1328	7026
159	1336	7014
160	1345	7009
161	1352	6996
162	1363	6999
163	1371	6989
164	1378	6975
165	1386	6968
166	1398	6974
167	1438	7124
168	1475	7257
169	1511	7382
170	1527	7404
171	1559	7506
172	1568	7498
173	1576	7483
174	1585	7474
175	1595	7467
176	1606	7469
177	1618	7475
178	1628	7470
179	1638	7465
180	1648	7459
181	1660	7461
182	1671	7464
183	1686	7479
184	1696	7472
185	1707	7473
186	1717	7466
187	1726	7457
188	1736	7451
189	1744	7437
190	1753	7425
191	1761	7412
192	1770	7402
193	1778	7390
194	1786	7376
195	1795	7364
196	1803	7352
197	1810	7334
198	1817	7315
199	1824	7299
200	1831	7281
201	1838	7264
202	1845	7246
203	1851	7226
204	1861	7217
205	1869	7203
206	1876	7188
207	1883	7173
208	1891	7159
209	1899	7147
210	1906	7130
211	1914	7117
212	1922	7102
213	1930	7091
214	1938	7076
215	1945	7061
216	1952	7045
217	1962	7038
218	1969	7022
219	1976	7008
220	1983	6991
221	1991	6978
222	1997	6960
223	2004	6945
224	2014	6937
225	2021	6923
226	2028	6909
227	2036	6893
